Date	Selector	Album	Artist
2017-08-27	@EastVanHalen	David Comes to Life	Fucked Up
2017-09-03	@FaberFedor	What A Lemon	Gasolin
2017-09-10	@Har_Shone	Wunderbar	Wolfgang Riechmann
2017-09-17	@mutster101	Spirit	Depeche Mode
2017-09-24	@SamSmitter	Stone Cold Ohio	Little Axe
2017-10-01	@nessiest	Halo	Juana Molina
2017-10-08	@saucer	Dedicated to Bobby Jameson	Ariel Pink
2017-10-15	@akx	Amelia Airhorn	Amelia Airhorn (Skylar Spence & The Knocks)
2017-10-22	@ohmyliver	1-800 DINOSAUR Presents Trim	Trim
2017-10-29	-	Fever To Tell	Yeah Yeah Yeahs
2017-11-05	@isperia_	Controlling Crowds	Archive
2017-11-12	@cdrose_writer	Pussy, King Of The Pirates	The Mekons & Kathy Acker
2017-11-19	@saucer	Timothy Dalton	Smagghe & Cross
2017-11-26	@xpollen8	The Last Mall	The Evolution Control Committee
2017-12-03	@emmaprice	American Dream	LCD Soundsystem
2017-12-10	@kleptones	James Holden & The Animal Spirits 	James Holden & The Animal Spirits
2017-12-17	@mutster101	???	???
2017-12-24	-	Holidays	-
2017-12-31	-	Holidays	-
2018-01-07	Everyone	Festive Vortex	VERY PARTY
2018-01-14	@SimonLandmine	Thank You	Duran Duran
2018-01-21	@rougeforever	Autogeddon	Julian Cope
2018-01-28	@Saucer	Broadcast	Tender Buttons
2018-02-04	@ohmyliver	Brecht & Weill's The Threepenny Opera	New York Shakespeare Festival's 1976 revival
2018-02-11	@mrhig	The Social Network OST	Trent Reznor & Atticus Ross
2018-02-18	@Har_Shone	Are you Serious?	Andrew Bird
2018-02-25	@akx	I-F - Mixed up in the Hague Vol 1	Various
2018-03-04	@jimmmccauley	Cobalt Chapel	Cobalt Chapel
2018-03-11	@nessiest	American Utopia	David Byrne
2018-03-18	@holette	Dream Wife	Dream Wife
2018-03-25	@faberfedor	Then Again	Deirdre Flint
2018-04-01	@AndersHanson	Other People's Problems	Breton
2018-04-08	@saucer	The Wonderful Shape Of Back Door Keys	The Prophet Hens
2018-04-15	@wojsvenwoj	Drool	Nnamdi Ogbonnaya
2018-04-22	@xpollen8	Our Puram	Pfarmers
2018-04-29	@kleptones	Planetarium	Sufjan Stevens, Bryce Dessner, Nico Muhly & James McAlister
2018-05-06	@eastvanhalen	Live at 2011 New Orleans Jazz and Heritage Festival	Dumpstaphunk
2018-05-13	@samsmitter	Classic Mellow Mastercuts Vol.2	Various Artists
2018-05-20	@ohmyliver	Tessellations	Peverelist
2018-05-27	@akx	(Triple Feature of EPs: WAVES / Moonrise / Sailorwave II)	Mikazuki Bigwave / Night Tempo / Macross 82-99
